Food Item,Calories,Protein (g),Fats (g),Dining Hall
Chicken Noodle Soup,63,4.4g,1.6g,berkshire
Tomato Bisque Soup,113,1.9g,6.9g,berkshire
Sriracha Honey Glazed Chicken Leg,165,17g,6g,berkshire
Lemon Quinoa w/Craisins & Thyme,80,1.9g,1.9g,berkshire
Roasted Cajun Potato Wedges,93,1.7g,3.4g,berkshire
Spanish Chickpeas w/Spinach,111,5.2g,5g,berkshire
Roasted Butternut Squash w/Spices,66,0.9g,3.3g,berkshire
Spicy Collard Greens,40,1.5g,2.5g,berkshire
Black Bean Burger,160,6g,7g,berkshire
Grilled Chicken Thighs,94,14g,3.8g,berkshire
Halal Burger Patty,144,12.6g,10.2g,berkshire
Halal French Fries,202,1.8g,13.6g,berkshire
Hand Cut Sweet Potato Fries,189,0.9g,12.7g,berkshire
Pad Kra Pao,115,8.5g,5.4g,berkshire
Pad Thai w/Peanuts,215,4.2g,11.3g,berkshire
Spicy Stir Fried Octopus,127,12.9g,3.6g,berkshire
Stir Fried Vegetables,33,1.5g,2.5g,berkshire
Sweet Chili Pulmuone Tofu,209,10.4g,14.2g,berkshire
Vegetable Spring Rolls,79,0.6g,7.6g,berkshire
Linguini Pasta,142,6g,0.7g,berkshire
Marinara Sauce,31,1g,1.8g,berkshire
Whole Grain Penne,212,8.9g,1.1g,berkshire
American Cheese,51,2.5g,4.1g,berkshire
Chicken Salad,125,5.6g,10.9g,berkshire
Deli Beef,61,11.1g,2g,berkshire
Homemade Mid Eastern Hummus,111,4.4g,4.9g,berkshire
Provolone Cheese,47,3.4g,3.5g,berkshire
Tuna Salad,128,8.7g,10g,berkshire
Turkey Breast,61,13.2g,1g,berkshire
Butterscotch Walnut Blondie,152,1.8g,6.1g,berkshire
Lemon White Choc Chip Cookie,200,2g,11g,berkshire
"Korean Black Bean Noodles (Pulmuone Pork, Beef)",597,23.8g,13.1g,berkshire
Cheese Pizza,204,8.3g,5.4g,berkshire
Pepperoni Pizza,217,8.9g,7g,berkshire
BBQ Pulled Pork Quesadilla,234,12g,11.1g,berkshire
French Fries,193,1.8g,13.2g,berkshire
Homemade Guacamole,19,0.2g,1.2g,berkshire
Plant Based Chorizo & Jalapeno Quesadilla,92,3.8g,2.8g,berkshire
